9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
10830;X71.8; Outr locais espec;Lesão autoprovocada intencionalmente por afogamento e submersão - outros locais especificados
10831;X71.9; Local NE;Lesão autoprovocada intencionalmente por afogamento e submersão - local não especificado
10832;X72.0; Residencia;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - residência
10833;X72.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - habitação coletiva
10834;X72.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - escolas, outras instituições e áreas de administração pública
10835;X72.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - área para a prática de esportes e atletismo
10836;X72.4; Rua e estrada;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - rua e estrada
10837;X72.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - áreas de comércio e de serviços
10838;X72.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - áreas industriais e em construção
10839;X72.7; Fazenda;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - fazenda
10840;X72.8; Outr locais espec;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - outros locais especificados
10841;X72.9; Local NE;Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão - local não especificado
10842;X73.0; Residencia;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - residência
10843;X73.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - habitação coletiva
10844;X73.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - escolas, outras instituições e áreas de administração pública
10845;X73.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - área para a prática de esportes e atletismo
10846;X73.4; Rua e estrada;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - rua e estrada
10847;X73.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - áreas de comércio e de serviços
10848;X73.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - áreas industriais e em construção
10849;X73.7; Fazenda;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - fazenda
10850;X73.8; Outr locais espec;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - outros locais especificados
10851;X73.9; Local NE;Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre - local não especificado
10852;X74.0; Residencia;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - residência
10853;X74.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - habitação coletiva
10854;X74.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - escolas, outras instituições e áreas de administração pública
10855;X74.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - área para a prática de esportes e atletismo
10856;X74.4; Rua e estrada;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - rua e estrada
10857;X74.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - áreas de comércio e de serviços
10858;X74.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - áreas industriais e em construção
10859;X74.7; Fazenda;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - fazenda
10860;X74.8; Outr locais espec;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - outros locais especificados
10861;X74.9; Local NE;Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada - local não especificado
10862;X75.0; Residencia;Lesão autoprovocada intencionalmente por dispositivos explosivos - residência
10863;X75.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por dispositivos explosivos - habitação coletiva
10864;X75.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por dispositivos explosivos - escolas, outras instituições e áreas de administração pública
10865;X75.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por dispositivos explosivos - área para a prática de esportes e atletismo
10866;X75.4; Rua e estrada;Lesão autoprovocada intencionalmente por dispositivos explosivos - rua e estrada
10867;X75.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por dispositivos explosivos - áreas de comércio e de serviços
10868;X75.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por dispositivos explosivos - áreas industriais e em construção
10869;X75.7; Fazenda;Lesão autoprovocada intencionalmente por dispositivos explosivos - fazenda
10870;X75.8; Outr locais espec;Lesão autoprovocada intencionalmente por dispositivos explosivos - outros locais especificados
10871;X75.9; Local NE;Lesão autoprovocada intencionalmente por dispositivos explosivos - local não especificado
10872;X76.0; Residencia;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - residência
10873;X76.1; Habitacao coletiva;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - habitação coletiva
10874;X76.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - escolas, outras instituições e áreas de administração pública
10875;X76.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - área para a prática de esportes e atletismo
10876;X76.4; Rua e estrada;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - rua e estrada
10877;X76.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - áreas de comércio e de serviços
10878;X76.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - áreas industriais e em construção
10879;X76.7; Fazenda;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - fazenda
10880;X76.8; Outr locais espec;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - outros locais especificados
10881;X76.9; Local NE;Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas - local não especificado
10882;X77.0; Residencia;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - residência
10883;X77.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - habitação coletiva
10884;X77.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - escolas, outras instituições e áreas de administração pública
10885;X77.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - área para a prática de esportes e atletismo
10886;X77.4; Rua e estrada;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - rua e estrada
10887;X77.5; Areas de comercio e de servicos;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - áreas de comércio e de serviços
10888;X77.6; Areas industriais e em construcao;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - áreas industriais e em construção
10889;X77.7; Fazenda;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - fazenda
10890;X77.8; Outr locais espec;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - outros locais especificados
10891;X77.9; Local NE;Lesão autoprovocada intencionalmente por vapor de água, gases ou objetos quentes - local não especificado
10892;X78.0; Residencia;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - residência
10893;X78.1; Habitacao coletiva;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - habitação coletiva
10894;X78.2; Escolas outr instit areas admin publica;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - escolas, outras instituições e áreas de administração pública
10895;X78.3; Area p/a pratica de esportes e atletismo;Lesão autoprovocada intencionalmente por objeto cortante ou penetrante - área para a prática de esportes e atletismo
